Ensembl.id,Gene.name,G19.Scr.1,G19.Scr.2,G19.Scr.3,G19.Scr.4,G19.shMETTL7B.1,G19.shMETTL7B.2,G19.shMETTL7B.3,G19.shMETTL7B.4
ENSG00000169439,SDC2,6.239146818,6.089029266,4.238761784,4.311715854,4.615012582,4.891042398,4.830958104,4.758144304
ENSG00000169446,MMGT1,4.986913206,4.986913206,5.077637352,5.045402165,5.13516721,5.129990106,5.123379513,5.263057264
ENSG00000169490,TM2D2,5.399744052,5.39219716,5.576756203,5.573913109,5.501910728,5.392848741,5.521559626,5.356707402
ENSG00000169499,PLEKHA2,6.538757361,6.625416514,6.65093904,6.553086887,6.507560553,6.584753771,6.595490979,6.59814701
ENSG00000169504,CLIC4,7.994760226,7.959049997,7.974442273,7.921112859,8.000061164,8.016136382,8.036144155,8.021553219
ENSG00000169515,CCDC8,0.571633988,0.519998269,-0.498596608,-0.713266088,0.17405221,0.315130983,-0.260389872,-0.713266088
ENSG00000169519,METTL15,3.956341112,4.138430667,4.499499246,4.520543632,4.120218774,4.177070188,4.04668842,4.094330506
ENSG00000169554,ZEB2,6.188625419,6.063424049,5.981617417,6.01460853,6.36491323,6.402365948,6.374328521,6.399603832
ENSG00000169562,GJB1,2.066659388,2.289836641,3.054591595,3.041728704,2.916187567,3.206117216,2.939448119,3.028682785
ENSG00000169564,PCBP1,9.534862971,9.515134926,9.575304162,9.554915407,9.65315337,9.65315337,9.675292196,9.638618788
ENSG00000169567,HINT1,7.688532037,7.616246186,7.47370024,7.584615481,7.365120113,7.367125972,7.409726957,7.361243035
ENSG00000169592,INO80E,5.64386925,5.780777445,5.774477258,5.813910756,5.849492056,5.823289535,5.711049713,5.827118012
ENSG00000169598,DFFB,2.37188543,2.685763642,2.835772695,2.768710211,3.019900966,2.791907291,2.801599599,2.957083034
ENSG00000169599,NFU1,4.458692552,4.370281288,4.408395775,4.277706174,4.484674011,4.538286513,4.330874063,4.415657628
ENSG00000169604,ANTXR1,6.927530595,6.958611925,6.483310238,6.38990609,6.697341089,6.704687711,6.702906266,6.622134357
ENSG00000169607,CKAP2L,6.098725517,5.966791578,6.033297205,5.996243703,6.347769243,6.358694975,6.258905178,6.29259834
ENSG00000169609,C15orf40,3.554559942,3.544816123,3.357966286,3.34680516,3.182777866,3.36958493,3.34619901,3.236218606
ENSG00000169612,FAM103A1,5.474166181,5.51209366,5.257562782,5.358721464,5.044701702,5.139328101,5.021608054,4.959903703
ENSG00000169627,BOLA2B,6.003503308,6.080239777,6.039944456,6.902141365,5.948418925,5.987570652,5.955333532,6.016276453
ENSG00000169629,RGPD8,1.404016465,1.517494425,2.024091541,1.883675805,2.000730404,2.048212712,1.923176412,1.773502851
ENSG00000169635,HIC2,3.249917286,3.208682408,2.84828738,3.086225473,3.280032118,3.407265584,3.509356547,3.29476122
ENSG00000169641,LUZP1,4.797440598,4.820056775,4.764565175,4.690521433,4.870954485,4.811927667,5.064940696,4.926998394
ENSG00000169660,HEXDC,2.287165999,2.48530389,2.547214812,2.30416587,2.463594441,2.373499631,1.970154883,2.471435456
ENSG00000169668,BCRP2,0.13959988,0.121331298,0.399601991,0.327635911,0.850345103,1.222306615,1.046261403,1.09396747
ENSG00000169679,BUB1,6.564664235,6.596643202,6.721401593,6.632778384,6.81204902,6.844159673,6.810281616,6.810872164
ENSG00000169682,SPNS1,6.136590559,6.192594003,6.10121349,6.136590559,6.247106381,6.22440932,6.302045014,6.23440642
ENSG00000169683,LRRC45,4.699655029,4.622684599,4.51887527,4.569561854,4.80783684,4.79673209,4.73935079,4.726669803
ENSG00000169689,STRA13,5.862908692,5.902249772,5.906446607,5.916014335,5.89632365,5.948026151,5.973328526,5.963322911
ENSG00000169692,AGPAT2,2.712433756,2.544806352,2.953011129,2.872341302,2.861514553,2.849151541,2.786064337,3.025858958
ENSG00000169696,ASPSCR1,4.489014759,4.367015974,4.210895442,4.142682579,4.502248125,4.492661374,4.455376274,4.462711297
ENSG00000169710,FASN,8.871888808,8.844882691,9.289220726,9.22044888,9.097892924,9.155237112,9.107271201,9.140655015
ENSG00000169714,CNBP,8.296559633,8.303689105,8.163290832,8.210196297,8.007173531,8.052818625,8.017938712,8.019744321
ENSG00000169715,MT1E,4.476759135,4.540243087,4.675616239,4.319839041,5.172162558,5.106555643,5.032653342,4.976704199
ENSG00000169718,DUS1L,5.561949116,5.607244818,5.471486727,5.51209366,5.583467738,5.55374195,5.527187938,5.528239962
ENSG00000169727,GPS1,6.534338018,6.478480321,6.363481279,6.295230615,6.46704118,6.557279307,6.435205182,6.519759663
ENSG00000169733,RFNG,5.008221985,5.007904434,5.13760178,5.02912743,4.96879067,5.206169545,5.005363218,5.110003305
ENSG00000169738,DCXR,6.653289735,6.618455819,6.618455819,6.690985898,6.548519792,6.688703065,6.658643828,6.547508559
ENSG00000169740,ZNF32,4.872873845,4.947256587,5.064585459,5.094304346,5.157778207,5.123709808,5.047834115,5.179648567
ENSG00000169744,LDB2,4.685519825,4.65420975,4.737422366,4.763387143,4.947996909,4.92773216,4.924137032,5.009541671
ENSG00000169750,RAC3,5.681637308,5.794920184,6.009422486,5.916828973,5.787760488,5.88595225,5.821796799,5.856085364
ENSG00000169756,LIMS1,5.909347585,5.981617417,6.053284845,5.99539383,5.812469074,5.817668199,5.793804265,5.865939575
